Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Bock_1,Bock_2,Bock_3,Abk_1,Abk_2,Abk_3
Q9ULC4;Q9ULC4-2;Q9ULC4-3,Q9ULC4-2;Q9ULC4-3;A0A3B3IRV3;Q9ULC4,MCTS1-2_HUMAN;MCTS1-3_HUMAN;MCTS1_HUMAN,MCTS1,Malignant T-cell-amplified sequence 1,2,571712,266837,,898393,1382380,1074880
O75223,O75223-3;M0QZK8;O75223,GGCT_HUMAN,GGCT,Gamma-glutamylcyclotransferase,8,1371140,962039,843553,211860,315724,488413
O00566,O00566,MPP10_HUMAN,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,3,798687,518679,723117,572565,315500,1230760
Q9NXF1;Q9NXF1-2,Q9NXF1-2;Q9NXF1,TEX10-2_HUMAN;TEX10_HUMAN,TEX10,Testis-expressed protein 10,1,635880,559392,781453,833605,626654,704557
P13667,P13667,PDIA4_HUMAN,PDIA4,Protein disulfide-isomerase A4,9,702126,447699,628750,767923,584184,1005330
P20674,H3BNX8;H3BRM5;H3BV69;P20674,COX5A_HUMAN,COX5A,"Cytochrome c oxidase subunit 5A, mitochondrial",4,724463,941696,480510,536534,432185,1020010
O94762;O94762-2;O94762-3;O94762-4,J3KTQ2;O94762-2;O94762-3;O94762-4;O94762,RECQ5-2_HUMAN;RECQ5-3_HUMAN;RECQ5-4_HUMAN;RECQ5_HUMAN,RECQL5,ATP-dependent DNA helicase Q5,1,626736,496198,598279,1044770,469181,888990
P62070;P62070-4,E9PK85;P62070-2;P62070-3;P62070-4;P62070,RRAS2-4_HUMAN;RRAS2_HUMAN,RRAS2,Ras-related protein R-Ras2,6,593930,662228,506121,810694,764151,779407
Q9HCG8,Q9HCG8,CWC22_HUMAN,CWC22,Pre-mRNA-splicing factor CWC22 homolog,16,768897,886073,889708,582957,447868,535834
Q8TC92;Q96M83;Q96M83-3;Q96M83-4;Q96M83-5,A0A1W2PNE7;Q96M83-3;Q96M83-4;Q96M83-5;Q8TC92;Q96M83,CCDC7-3_HUMAN;CCDC7-4_HUMAN;CCDC7-5_HUMAN;CCDC7_HUMAN;ENOX1_HUMAN,CCDC7;ENOX1,Ecto-NOX disulfide-thiol exchanger 1,1,963776,,1454630,,,1686420
Q6ZVX7,Q6ZVX7,FBX50_HUMAN,NCCRP1,F-box only protein 50,9,1230550,948272,645426,132947,346009,791975
P05388;P05388-2,F8VPE8;F8VU65;F8VW21;F8VWS0;G3V210;P05388-2;P05388;Q8NHW5,RLA0-2_HUMAN;RLA0_HUMAN,RPLP0,60S acidic ribosomal protein P0,8,425893,559326,401352,944877,711867,1040160
Q8IZU2;Q8IZU2-2,E7ESC9;H0YAG1;Q8IZU2-2;Q8IZU2,WDR17-2_HUMAN;WDR17_HUMAN,WDR17,WD repeat-containing protein 17,1,704499,482814,,1012790,924777,958260
O00746,A0A087WVT9;F2Z2X0;H0Y6J0;Q4TT34;O00746,NDKM_HUMAN,NME4,"Nucleoside diphosphate kinase, mitochondrial",5,457072,566538,828419,681721,922274,615765
Q16851,A0A087WYS1;E7EUC7;Q16851-2;Q16851,UGPA_HUMAN,UGP2,UTP--glucose-1-phosphate uridylyltransferase,15,503247,603443,578700,839774,703750,820416
Q96E11;Q96E11-3,Q96E11-3;Q96E11-8;Q96E11,RRFM-3_HUMAN;RRFM_HUMAN,MRRF,"Ribosome-recycling factor, mitochondrial",7,766137,352261,370763,540427,1036950,968638
Q99714,Q5H928;Q99714-2;Q99714,HCD2_HUMAN,HSD17B10,3-hydroxyacyl-CoA dehydrogenase type-2,10,585807,538179,503694,811934,679315,896137
P59665;P59666,P59665;P59666,DEF1_HUMAN;DEF3_HUMAN,DEFA1B;DEFA3,Neutrophil defensin 1,2,635147,619621,919676,284538,188491,1352980
P56381;Q5VTU8,P56381;Q5VTU8,AT5EL_HUMAN;ATP5E_HUMAN,ATP5F1E;ATP5F1EP2,"ATP synthase subunit epsilon, mitochondrial",3,848186,454013,454449,659428,532062,1049660
O95793;O95793-2,A0A087X1A5;O95793-2;O95793-3;Q5JW28;Q5JW30;O95793,STAU1-2_HUMAN;STAU1_HUMAN,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,11,547376,471269,614463,811567,754495,792865
Q9HC35;Q9HC35-2,B5MBZ0;Q9HC35-2;Q9HC35,EMAL4-2_HUMAN;EMAL4_HUMAN,EML4,Echinoderm microtubule-associated protein-like 4,20,742990,712962,1207310,518618,302554,495915
Q9C0J8,C9J8B4;Q9C0J8-2;Q9C0J8-3;Q9C0J8,WDR33_HUMAN,WDR33,pre-mRNA 3' end processing protein WDR33,13,689897,622480,763974,793499,615154,493457
P59190;P59190-2,A0A2R8Y7G7;A0A2R8YFB8;G3V196;G3V562;J3QSF4;P59190-2;P59190,RAB15-2_HUMAN;RAB15_HUMAN,RAB15,Ras-related protein Rab-15,1,1072360,,1268520,,,1616430
Q9Y224,G3V4C6;H0YJB9;Q9Y224,RTRAF_HUMAN,RTRAF,"RNA transcription, translation and transport factor protein",7,485304,620519,397823,723192,868727,810450
Q9NY99;Q9NY99-2,A0A0G2JR78;Q9NY99-2;Q9NY99,SNTG2-2_HUMAN;SNTG2_HUMAN,SNTG2,Gamma-2-syntrophin,2,397492,922550,808938,653218,525512,597219
P35232,C9JW96;C9JZ20;E7ESE2;E9PCW0;P35232-2;P35232,PHB_HUMAN,PHB,Prohibitin,12,725007,702211,727844,636609,511681,601530
Q5VTL8,Q5VTL8-2;Q5VTL8,PR38B_HUMAN,PRPF38B,Pre-mRNA-splicing factor 38B,8,637308,949558,822989,651355,468186,352390
P67870,A0A0G2JM12;N0E472;Q5SRQ3;Q5SRQ6;P67870,CSK2B_HUMAN,CSNK2B,Casein kinase II subunit beta,5,782830,787632,742424,552137,440802,574290
Q9BUQ8,Q9BUQ8,DDX23_HUMAN,DDX23,Probable ATP-dependent RNA helicase DDX23,23,760435,919822,688263,585887,387259,530791
Q9NVU7;Q9NVU7-2,E7EW05;Q9NVU7-2;Q9NVU7,SDA1-2_HUMAN;SDA1_HUMAN,SDAD1,Protein SDA1 homolog,2,681648,520934,677212,871022,442800,654156
Q9Y676,A0A0G2JIC6;Q9Y676,RT18B_HUMAN,MRPS18B,"28S ribosomal protein S18b, mitochondrial",4,650887,418539,446642,786670,932125,591237
Q9H7N4,Q9H7N4,SFR19_HUMAN,SCAF1,"Splicing factor, arginine/serine-rich 19",12,757225,677211,821230,613350,447430,495665
P61626,A0A0B4J259;F8VV32;P61626,LYSC_HUMAN,LYZ,Lysozyme C,5,387586,923312,689489,141007,97142,1571800
Q15233;Q15233-2,C9IZL7;C9J4X2;C9JYS8;Q15233-2;Q15233,NONO-2_HUMAN;NONO_HUMAN,NONO,Non-POU domain-containing octamer-binding protein,17,489976,461179,408550,701764,885583,856800
O75475,O75475-2;O75475-3;O75475,PSIP1_HUMAN,PSIP1,PC4 and SFRS1-interacting protein,8,416352,258195,474426,705314,1347850,585494
P09496;P09496-2;P09496-3;P09496-4,C9J8P9;P09496-2;P09496-3;P09496-4;P09496-5;P09496,CLCA-2_HUMAN;CLCA-3_HUMAN;CLCA-4_HUMAN;CLCA_HUMAN,CLTA,Clathrin light chain A,4,609895,659205,668107,472433,478585,893221
Q53GS9,A0A087WW31;A0A087X1B2;B9A018;C9J0X5;C9JIU2;Q53GS9-2;Q53GS9-3;Q53GS9,SNUT2_HUMAN,USP39,U4/U6.U5 tri-snRNP-associated protein 2,9,702754,704370,622230,620167,664794,464805
Q9UI42;Q9UI42-2,B7Z5J4;Q9UI42-2;Q9UI42,CBPA4-2_HUMAN;CBPA4_HUMAN,CPA4,Carboxypeptidase A4,9,1650160,673959,510471,166221,319330,454890
Q14562,Q14562,DHX8_HUMAN,DHX8,ATP-dependent RNA helicase DHX8,27,755078,939669,730775,548767,390969,408488
Q9Y230,M0R0Y3;Q9Y230-2;X6R2L4;Q9Y230,RUVB2_HUMAN,RUVBL2,RuvB-like 2,12,576640,623013,547125,695893,664785,661137
P05114,A0A494C035;F2Z2W6;F2Z2Y5;H7BXJ5;P05114,HMGN1_HUMAN,HMGN1,Non-histone chromosomal protein HMG-14,3,982963,,536927,719719,559871,958179
Q13263,Q13263-2;Q13263,TIF1B_HUMAN,TRIM28,Transcription intermediary factor 1-beta,9,531480,574840,461390,749558,619049,821228
P42357,F8VNX0;F8W0V1;P42357-2;Q4VB95;P42357,HUTH_HUMAN,HAL,Histidine ammonia-lyase,14,2161650,517079,363266,83370.6,222384,398584
Q00325;Q00325-2,F8VVM2;Q00325-2;Q00325,MPCP-2_HUMAN;MPCP_HUMAN,SLC25A3,"Phosphate carrier protein, mitochondrial",2,769091,669928,704586,570441,316849,712347
O95478,A0A0A0MQZ6;H0YAI9;O95478,NSA2_HUMAN,NSA2,Ribosome biogenesis protein NSA2 homolog,6,459760,464230,541545,710542,822923,723632
Q9NWT8,Q9NWT8,AKIP_HUMAN,AURKAIP1,Aurora kinase A-interacting protein,1,460106,589804,503870,800705,685379,619659
P60174;P60174-1,P60174-1;P60174-4;U3KPZ0;U3KQF3;P60174,TPIS-1_HUMAN;TPIS_HUMAN,TPI1,Triosephosphate isomerase,10,972612,728271,729727,289201,335682,590431
Q96MU7;Q96MU7-2,J3QR07;Q96MU7-2;Q96MU7,YTDC1-2_HUMAN;YTDC1_HUMAN,YTHDC1,YTH domain-containing protein 1,9,668778,815755,649340,546430,446891,518552
Q9NX24,D6RC52;D6RCB9;J3QSY4;Q9NX24,NHP2_HUMAN,NHP2,H/ACA ribonucleoprotein complex subunit 2,4,427142,437023,381849,783156,768269,845369
Q2TB90;Q2TB90-2;Q2TB90-3,Q2TB90-2;Q2TB90-3;Q2TB90,HKDC1-2_HUMAN;HKDC1-3_HUMAN;HKDC1_HUMAN,HKDC1,Putative hexokinase HKDC1,1,445254,233777,486629,982555,1142390,349403
Q9UK45,A0A087X2I5;Q9UK45,LSM7_HUMAN,LSM7,U6 snRNA-associated Sm-like protein LSm7,3,901722,593589,263293,708150,380837,787177
Q9NZT1,Q9NZT1,CALL5_HUMAN,CALML5,Calmodulin-like protein 5,4,187865,754850,907992,357722,997336,405604
Q14331,E9PRR7;Q14331,FRG1_HUMAN,FRG1,Protein FRG1,8,510155,597164,405668,668914,820642,600500
Q15910;Q15910-2;Q15910-3;Q15910-4;Q15910-5,G3XAL2;Q15910-2;Q15910-3;Q15910-4;Q15910-5;Q15910,EZH2-2_HUMAN;EZH2-3_HUMAN;EZH2-4_HUMAN;EZH2-5_HUMAN;EZH2_HUMAN,EZH2,Histone-lysine N-methyltransferase EZH2,1,256309,490630,253737,604782,1013020,970421
Q8N684;Q8N684-2;Q8N684-3,C9J286;C9J323;C9JM38;F5GXA3;F5H047;F5H1W4;F5H2K8;F5H5B7;F5H669;F5H6A8;F5H6M0;F5H6P5;J3QT54;Q8N684-2;Q8N684-3;Q8N684,CPSF7-2_HUMAN;CPSF7-3_HUMAN;CPSF7_HUMAN,CPSF7,Cleavage and polyadenylation specificity factor subunit 7,8,628673,379656,379363,640674,988225,571259
O60869,O60869-2;O60869-3;O60869,EDF1_HUMAN,EDF1,Endothelial differentiation-related factor 1,4,619073,254157,322927,781905,534861,1072700
Q96HF1,Q96HF1,SFRP2_HUMAN,SFRP2,Secreted frizzled-related protein 2,3,608135,454478,298245,587413,1019440,617504
Q15370;Q15370-2,A0A0B4J296;B8ZZU8;I3L0M9;Q15370-2;Q15370,ELOB-2_HUMAN;ELOB_HUMAN,ELOB,Elongin-B,7,717952,345316,401708,622745,730470,740018
P52907,A0A0D9SET8;C9JUG7;F8W9N7;P47755-2;P47755;P52907,CAZA1_HUMAN,CAPZA1,F-actin-capping protein subunit alpha-1,5,751240,545092,457437,630297,601149,563629
P20618,P20618,PSB1_HUMAN,PSMB1,Proteasome subunit beta type-1,8,800656,669021,694906,357778,446803,578068
B2RTY4;B2RTY4-2;B2RTY4-4;B2RTY4-5,B2RTY4-2;B2RTY4-4;B2RTY4-5;H3BRD5;H3BV44;B2RTY4,MYO9A-2_HUMAN;MYO9A-4_HUMAN;MYO9A-5_HUMAN;MYO9A_HUMAN,MYO9A,Unconventional myosin-IXa,1,465064,482513,532218,603388,681726,780048
Q8WVV4;Q8WVV4-1,Q8WVV4-1;Q8WVV4-3;Q8WVV4,POF1B-1_HUMAN;POF1B_HUMAN,POF1B,Protein POF1B,9,599809,768822,810675,152059,541096,669779
Q15084;Q15084-2;Q15084-3;Q15084-4;Q15084-5,Q15084-2;Q15084-3;Q15084-4;Q15084-5;Q15084,PDIA6-2_HUMAN;PDIA6-3_HUMAN;PDIA6-4_HUMAN;PDIA6-5_HUMAN;PDIA6_HUMAN,PDIA6,Protein disulfide-isomerase A6,7,669905,631878,616571,536059,496553,582660
Q6PKG0,Q6PKG0-3;Q6PKG0,LARP1_HUMAN,LARP1,La-related protein 1,14,516194,505287,678948,659252,681983,485518
P37268;P37268-5,A0A1W2PQ47;E9PJG4;E9PNM1;P37268-5;P37268,FDFT-5_HUMAN;FDFT_HUMAN,FDFT1,Squalene synthase,8,510600,555279,523944,760906,479539,694546
Q9P258,Q9P258,RCC2_HUMAN,RCC2,Protein RCC2,11,649593,631776,429465,745278,528843,539729
P35613;P35613-2,A0A087WUV8;A0A087X2B5;I3L192;P35613-2;P35613-3;P35613-4;R4GMX5;R4GN83;P35613,BASI-2_HUMAN;BASI_HUMAN,BSG,Basigin,4,607304,738690,374341,567815,438435,781853
Q7Z7K6-3,A0A0M3HER2;Q7Z7K6-3,CENPV-3_HUMAN,CENPV,"Isoform of Q7Z7K6, Isoform 3 of Centromere protein V",4,399230,195377,404992,770622,739579,994986
Q5JTH9;Q5JTH9-2;Q5JTH9-3,A0A087X0G0;Q5JTH9-2;Q5JTH9-3;Q5JTH9,RRP12-2_HUMAN;RRP12-3_HUMAN;RRP12_HUMAN,RRP12,RRP12-like protein,9,560984,483782,535602,646541,551148,696813
P55084,B5MD38;C9JE81;C9JEY0;C9K0M0;P55084-2;P55084,ECHB_HUMAN,HADHB,"Trifunctional enzyme subunit beta, mitochondrial",11,589558,388715,514643,777609,849070,354995
Q99497,K7ELW0;Q99497,PARK7_HUMAN,PARK7,Protein/nucleic acid deglycase DJ-1,9,714296,502526,615026,518715,609437,512407
Q9Y3A2,Q9Y3A2,UTP11_HUMAN,UTP11,Probable U3 small nucleolar RNA-associated protein 11,7,399992,475396,344925,712774,693652,821344
P08559;P08559-2;P08559-3;P08559-4,P08559-2;P08559-3;P08559-4;P08559,ODPA-2_HUMAN;ODPA-3_HUMAN;ODPA-4_HUMAN;ODPA_HUMAN,PDHA1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",10,612028,532084,429300,661508,628751,583824
P0DMV8;P0DMV8-2;P0DMV9,A0A0G2JIW1;P0DMV8-2;Q53FA3;V9GZ37;P0DMV8;P0DMV9;P34931,HS71A-2_HUMAN;HS71A_HUMAN;HS71B_HUMAN,HSPA1A;HSPA1B,Heat shock 70 kDa protein 1A,12,524452,524355,465099,604931,645341,662271
P98175-5,P98175-2;P98175-3;P98175-4;P98175-5;P52756;P98175,RBM10-5_HUMAN,RBM10,"Isoform of P98175, Isoform 5 of RNA-binding protein 10",13,632394,498551,662100,538547,696013,398174
P08708,A0A075B716;H0YN73;H0YN88;H3BNC9;P08708,RS17_HUMAN,RPS17,40S ribosomal protein S17,8,722604,436218,516215,579538,656019,514145
Q8WWY7,Q8WWY7,WFD12_HUMAN,WFDC12,WAP four-disulfide core domain protein 12,1,358041,848374,674361,301355,641908,595070
Q08378;Q08378-2;Q08378-4,Q08378-2;Q08378-4;Q08378,GOGA3-2_HUMAN;GOGA3-4_HUMAN;GOGA3_HUMAN,GOLGA3,Golgin subfamily A member 3,1,305847,564026,860370,453896,622693,597805
Q9Y6M1;Q9Y6M1-1,F8W930;Q9Y6M1-1;Q9Y6M1-3;Q9Y6M1-4;Q9Y6M1-5;Q9Y6M1-6;Q9Y6M1,IF2B2-1_HUMAN;IF2B2_HUMAN,IGF2BP2,Insulin-like growth factor 2 mRNA-binding protein 2,15,606942,488632,685497,616138,594678,401434
Q68DQ2,Q68DQ2,CRBG3_HUMAN,CRYBG3,Very large A-kinase anchor protein,7,474908,438871,484206,602194,599710,782392
Q8IWX8,J3QK89;Q8IWX8,CHERP_HUMAN,CHERP,Calcium homeostasis endoplasmic reticulum protein,12,756314,701348,828288,506627,255750,328473
P63167,P63167;Q96FJ2,DYL1_HUMAN,DYNLL1,"Dynein light chain 1, cytoplasmic",3,603449,572404,346739,582108,479513,788289
P11279,P11279,LAMP1_HUMAN,LAMP1,Lysosome-associated membrane glycoprotein 1,3,658010,570840,748837,361453,498055,512534
P52434;P52434-4,C9JLU1;P52434-2;P52434-4;P52434,RPAB3-4_HUMAN;RPAB3_HUMAN,POLR2H,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",3,588264,388772,424259,722577,596708,625669
Q9P031,F8VNY5;Q9P031,TAP26_HUMAN,CCDC59,Thyroid transcription factor 1-associated protein 26,3,447912,265964,230857,717747,1005510,656278
O75635;O75635-2,O75635-2;O75635,SPB7-2_HUMAN;SPB7_HUMAN,SERPINB7,Serpin B7,9,932100,573849,583351,188461,511622,516708
Q9BRX9,Q9BRX9,WDR83_HUMAN,WDR83,WD repeat domain-containing protein 83,6,488997,659801,418538,635374,623425,445730
B9A064,A0A0B4J231;A0M8Q6;B9A064;P0CF74;P0CG04;P0DOY2;P0DOY3,IGLL5_HUMAN,IGLL5,Immunoglobulin lambda-like polypeptide 5,4,522059,740509,457456,322240,544248,673818
Q13867,K7ESE8;Q13867,BLMH_HUMAN,BLMH,Bleomycin hydrolase,15,1411000,605062,454271,,76168.9,706924
P25789,H0YL69;H0YMZ1;H0YN18;P25789-2;P25789,PSA4_HUMAN,PSMA4,Proteasome subunit alpha type-4,4,663982,585320,589747,411209,468476,533359
P22061;P22061-2,A0A0A0MRJ6;A0A3F2YNX8;F6S8N6;H7BY58;P22061-2;P22061,PIMT-2_HUMAN;PIMT_HUMAN,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,2,533674,460392,471304,601993,684084,493656
Q10570,A0A087X101;Q10570,CPSF1_HUMAN,CPSF1,Cleavage and polyadenylation specificity factor subunit 1,28,728164,640880,743926,491720,279768,360132
Q9UJV9,D6RGI7;H0YA06;J3KNN5;Q9UJV9,DDX41_HUMAN,DDX41,Probable ATP-dependent RNA helicase DDX41,19,520101,468747,552423,656239,648380,386251
P45973,P45973,CBX5_HUMAN,CBX5,Chromobox protein homolog 5,6,463783,399369,516357,614185,768634,438415
P31930,P31930,QCR1_HUMAN,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",7,727089,509783,370727,585399,482972,487569
O43290,O43290,SNUT1_HUMAN,SART1,U4/U6.U5 tri-snRNP-associated protein 1,18,598891,604364,590473,514194,494181,354924
Q14974,J3QR48;Q14974,IMB1_HUMAN,KPNB1,Importin subunit beta-1,8,360616,457634,574233,664742,429151,668072
Q8TAE8,Q8TAE8,G45IP_HUMAN,GADD45GIP1,Growth arrest and DNA damage-inducible proteins-interacting protein 1,2,348175,485275,981056,312866,289940,711300
Q96ST2;Q96ST2-2;Q96ST2-3,A0A1B0GW95;H7C0U1;Q96ST2-2;Q96ST2-3;Q96ST2,IWS1-2_HUMAN;IWS1-3_HUMAN;IWS1_HUMAN,IWS1,Protein IWS1 homolog,3,620702,196615,275985,518131,759420,744773
P31942;P31942-2,P31942-2;P31942-3;P31942-4;P31942-5;P31942-6;P31942,HNRH3-2_HUMAN;HNRH3_HUMAN,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3,7,944253,473901,485034,442080,478622,282718
O60870,O60870-2;S4R357;O60870,KIN17_HUMAN,KIN,DNA/RNA-binding protein KIN17,6,686726,633564,,625541,629713,530543
P33993;P33993-3,P33993-3;P33993,MCM7-3_HUMAN;MCM7_HUMAN,MCM7,DNA replication licensing factor MCM7,7,518131,671888,388532,625141,277692,594124
Q99470,K7ELI9;Q99470,SDF2_HUMAN,SDF2,Stromal cell-derived factor 2,4,477303,631616,484101,337055,322828,816755
O94776,O94776,MTA2_HUMAN,MTA2,Metastasis-associated protein MTA2,12,481365,512481,547268,560238,364620,601815
Q08431,Q08431-2;Q08431-3;Q08431-4;X6R3G6;Q08431,MFGM_HUMAN,MFGE8,Lactadherin,11,813512,414686,423403,559836,519332,333581
P63241;P63241-2,I3L397;I3L504;P63241-2;P63241;Q6IS14,IF5A1-2_HUMAN;IF5A1_HUMAN,EIF5A,Eukaryotic translation initiation factor 5A-1,4,370200,381054,390237,638462,606490,677235
Q9BRD0,Q9BRD0-2;Q9BRD0,BUD13_HUMAN,BUD13,BUD13 homolog,9,524209,560285,515875,512440,512940,429268
P62312,P62312,LSM6_HUMAN,LSM6,U6 snRNA-associated Sm-like protein LSm6,3,582539,379634,397533,547729,561376,585794
P24666,D3YTI2;F2Z2Q9;G5E9R5;P24666-2;P24666-3;P24666-4;P24666,PPAC_HUMAN,ACP1,Low molecular weight phosphotyrosine protein phosphatase,3,427307,598607,303632,701632,195687,823459
Q99590;Q99590-2,A0A087WTB7;F8VXG7;Q99590-2;Q99590,SCAFB-2_HUMAN;SCAFB_HUMAN,SCAF11,Protein SCAF11,12,589879,453551,664180,447590,444726,443493
O43447,A6NM32;C9JQD4;O43447,PPIH_HUMAN,PPIH,Peptidyl-prolyl cis-trans isomerase H,6,496130,393639,312370,603534,721839,514063
P01859,A0A286YEY4;A0A286YFJ8;P01859;P01861,IGHG2_HUMAN,IGHG2,Immunoglobulin heavy constant gamma 2,3,190943,1476590,249306,151935,661097,303627
P06702,P06702,S10A9_HUMAN,S100A9,Protein S100-A9,4,374217,1471710,499870,79492.1,,596161
Q01844;Q01844-2;Q01844-3;Q01844-5;Q01844-6,A0A0D9SFL3;B0QYK0;C9JGE3;H7BY36;Q01844-2;Q01844-3;Q01844-5;Q01844-6;Q01844,EWS-2_HUMAN;EWS-3_HUMAN;EWS-5_HUMAN;EWS-6_HUMAN;EWS_HUMAN,EWSR1,RNA-binding protein EWS,2,429045,344069,349389,517712,617409,763482
Q9NWH9,H7C3F4;Q9NWH9-3;Q9NWH9,SLTM_HUMAN,SLTM,SAFB-like transcription modulator,16,634409,598375,475299,513959,359693,429247
Q9UBU8-2,B3KTM8;H0YLJ3;H0YMJ0;H0YNE0;Q9UBU8-2;Q9UBU8,MO4L1-2_HUMAN,MORF4L1,"Isoform of Q9UBU8, Isoform 2 of Mortality factor 4-like protein 1",4,573412,257062,395577,466592,694305,607903
Q8WZ60,A0A0C4DGF2;Q8WZ60,KLHL6_HUMAN,KLHL6,Kelch-like protein 6,1,615334,653918,,575708,454340,695009
O75947,O75947,ATP5H_HUMAN,ATP5PD,"ATP synthase subunit d, mitochondrial",5,691416,425921,318782,616206,337777,599287
Q9BQ61,Q9BQ61,TRIR_HUMAN,TRIR,Telomerase RNA component interacting RNase,3,597197,400876,570855,461040,412241,546858
O43399;O43399-5;O43399-7,A0A087WYR3;O43399-5;O43399-7;O43399,TPD54-5_HUMAN;TPD54-7_HUMAN;TPD54_HUMAN,TPD52L2,Tumor protein D54,7,514726,377579,396856,579069,618073,455625
Q02040,Q02040-2;Q02040-3;X6RAJ1;Q02040,AK17A_HUMAN,AKAP17A,A-kinase anchor protein 17A,17,536272,600190,610493,466715,340735,386224
Q96EY1;Q96EY1-2,Q96EY1-2;Q96EY1-3;Q96EY1,DNJA3-2_HUMAN;DNJA3_HUMAN,DNAJA3,"DnaJ homolog subfamily A member 3, mitochondrial",5,361577,380291,452562,589850,722161,419638
O43395,O43395-3;O43395,PRPF3_HUMAN,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3,15,590958,456787,517540,499708,462873,377724
O75400;O75400-2,A0A3F2YNY6;F5H578;O75400-2;O75400-3;O75400,PR40A-2_HUMAN;PR40A_HUMAN,PRPF40A,Pre-mRNA-processing factor 40 homolog A,18,606586,667271,615124,416528,281385,315503
O00264,O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,6,632229,443957,524216,516063,260689,515480
Q99436,Q99436,PSB7_HUMAN,PSMB7,Proteasome subunit beta type-7,4,612411,611550,467590,302124,424709,467867
P14314;P14314-2,A0A0C4DGP4;K7ELL7;P14314-2;P14314,GLU2B-2_HUMAN;GLU2B_HUMAN,PRKCSH,Glucosidase 2 subunit beta,10,613820,587239,279696,610758,404602,387677
Q9Y2Q9,E5RFH3;E5RGC7;E5RK86;H0YAT2;H7C5V3;Q9Y2Q9,RT28_HUMAN,MRPS28,"28S ribosomal protein S28, mitochondrial",7,576880,368037,128118,575556,605282,620644
P78316,P78316,NOP14_HUMAN,NOP14,Nucleolar protein 14,8,623518,275454,219605,689413,515467,537216
P36542,P36542-2;P36542,ATPG_HUMAN,ATP5F1C,"ATP synthase subunit gamma, mitochondrial",9,611602,487834,322463,593258,503042,332708
Q9P2I0,Q9P2I0,CPSF2_HUMAN,CPSF2,Cleavage and polyadenylation specificity factor subunit 2,14,587919,585585,739117,413077,239531,281554
Q969G3;Q969G3-2,A0A2R8Y4T4;A0A2R8Y765;A0A2R8Y7I9;A0A2R8Y7U4;A0A2R8Y855;A0A2R8YES3;A0A2U3TZQ7;B4DGM3;H7C048;I3L0N3;J3QKS7;K7EMQ8;P46459-2;Q969G3-2;Q969G3-3;Q969G3-4;Q969G3-5;Q969G3-6;P46459;Q969G3,SMCE1-2_HUMAN;SMCE1_HUMAN,SMARCE1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,9,369190,272987,222598,584643,744948,649089
P35222,A0A2R8Y543;A0A2R8Y5A3;A0A2R8Y5C3;A0A2R8Y5Z1;A0A2R8Y750;A0A2R8Y7Z0;A0A2R8Y804;A0A2R8YCH5;B4DGU4;P35222,CTNB1_HUMAN,CTNNB1,Catenin beta-1,4,835816,505886,,825288,340875,323311
P13995,B8ZZU9;B9A062;P13995,MTDC_HUMAN,MTHFD2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",6,533716,379249,373233,507349,593217,441833
P63208,E5RJR5;E7ERH2;F8W8N3;P63208-2;P63208,SKP1_HUMAN,SKP1,S-phase kinase-associated protein 1,4,515272,518223,214920,496399,436499,646949
Q02809;Q02809-2,Q02809-2;Q02809,PLOD1-2_HUMAN;PLOD1_HUMAN,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",13,620623,488116,595383,509174,357693,246638
P30049,P30049,ATPD_HUMAN,ATP5F1D,"ATP synthase subunit delta, mitochondrial",2,493740,354268,222557,470110,712969,559303
O76094;O76094-2,O76094-2;R4GNC1;O76094,SRP72-2_HUMAN;SRP72_HUMAN,SRP72,Signal recognition particle subunit SRP72,6,408610,339336,344131,522999,493282,703464
Q96C57,E7ENF1;F5H7W8;F5H8B7;G5EA44;Q96C57,CSTOS_HUMAN,CUSTOS,Protein CUSTOS,2,527971,267694,458752,468179,424312,659448
P13073,P13073,COX41_HUMAN,COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",5,424072,546736,307160,441737,290090,795422
Q14197,J3KS15;Q14197,ICT1_HUMAN,MRPL58,"Peptidyl-tRNA hydrolase ICT1, mitochondrial",5,402928,314074,234519,479018,736970,615191
P00338;P00338-3,P00338-3;P00338-4;P00338,LDHA-3_HUMAN;LDHA_HUMAN,LDHA,L-lactate dehydrogenase A chain,5,334904,548662,698522,350348,356101,493862
Q9BYE4,Q9BYE4,SPR2G_HUMAN,SPRR2G,Small proline-rich protein 2G,1,310787,858681,1011740,,,586818
O00483,O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,5,403066,509724,405653,549385,449735,449847
