Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Prime1_1,Prime1_2,Prime1_3,Prime2_1,Prime2_2,Prime2_3,Naive1_1,Naive1_2,Naive1_3,Naive2_1,Naive2_2,Naive2_3
P31942-2,P31942-2;P31942-3;P31942-4;P31942,HNRH3-2_HUMAN,HNRNPH3,"Isoform of P31942, Isoform 2 of Heterogeneous nuclear ribonucleoprotein H3",13,12167500,12219400,13009900,13716100,14166500,13932100,12471600,13689400,13430700,13163200,12594800,13110200
P31943,G8JLB6;H0YB39;P31943,HNRH1_HUMAN,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,21,26735000,28020300,29370300,32394300,32200500,29735000,18806200,27848100,27277200,32195100,30936100,31697700
P31944,P31944,CASPE_HUMAN,CASP14,Caspase-14,14,757084,,,1703400,,,803959,1268530,744508,367070,4534530,1173590
P31946;P31946-2,P31946-2;P31946,1433B-2_HUMAN;1433B_HUMAN,YWHAB,14-3-3 protein beta/alpha,5,13593900,10888800,11432400,12095500,12239500,12281100,6096980,10233900,10047200,7941400,8140800,7677840
P31947,P31947-2;P31947,1433S_HUMAN,SFN,14-3-3 protein sigma,3,226605,401706,156713,162444,184505,199884,245237,281469,212004,266378,420267,200266
P31948;P31948-2,P31948-2;P31948-3;P31948,STIP1-2_HUMAN;STIP1_HUMAN,STIP1,Stress-induced-phosphoprotein 1,46,12561800,12942400,12823000,14856500,14797300,14677300,9721920,11758500,11753300,9027860,9005450,9062570
P31949,P31949,S10AB_HUMAN,S100A11,Protein S100-A11,5,5506030,5818370,4790250,4009730,3490880,3615160,4779790,5157740,4546000,2966040,6988700,3608530
P32004;P32004-2;P32004-3,P32004-2;P32004-3;P32004,L1CAM-2_HUMAN;L1CAM-3_HUMAN;L1CAM_HUMAN,L1CAM,Neural cell adhesion molecule L1,3,392666,586877,504138,832737,762038,783845,887148,846359,973832,653758,992902,659077
P32019;P32019-2;P32019-3,P32019-2;P32019-3;P32019,I5P2-2_HUMAN;I5P2-3_HUMAN;I5P2_HUMAN,INPP5B,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",1,362775,,392746,333307,385305,296691,179245,321492,,289511,313191,
P32119,P32119,PRDX2_HUMAN,PRDX2,Peroxiredoxin-2,9,50667400,51447400,53548300,53451200,53804000,52617000,46210400,38663300,37800000,30623500,43799200,30365100
P32121;P32121-2;P32121-3;P32121-4;P32121-5,K7EL17;P32121-2;P32121-3;P32121-4;P32121-5;Q68DZ5;P32121,ARRB2-2_HUMAN;ARRB2-3_HUMAN;ARRB2-4_HUMAN;ARRB2-5_HUMAN;ARRB2_HUMAN,ARRB2,Beta-arrestin-2,2,859825,1470930,553524,682273,704551,510417,749206,633627,510745,511389,577331,453807
P32189;P32189-1;P32189-2;P32189-4,A6NP46;F8WC39;P32189-1;P32189-2;P32189-4;P32189,GLPK-1_HUMAN;GLPK-2_HUMAN;GLPK-4_HUMAN;GLPK_HUMAN,GK,Glycerol kinase,3,1225220,1122070,959839,1053100,1039660,999124,748037,976163,960183,758987,773881,647769
P32243;P32243-2,G3V3J3;G3V3P9;P32243-2;P32243,OTX2-2_HUMAN;OTX2_HUMAN,OTX2,Homeobox protein OTX2,1,,,,,,,131734,,,146116,,71658.4
P32321;P32321-2,D6RBJ9;P32321-2;P32321,DCTD-2_HUMAN;DCTD_HUMAN,DCTD,Deoxycytidylate deaminase,4,717205,690835,559460,665863,749298,758544,733636,476574,512295,467795,655506,479967
P32322;P32322-3,E2QRB3;P32322-3;P32322,P5CR1-3_HUMAN;P5CR1_HUMAN,PYCR1,"Pyrroline-5-carboxylate reductase 1, mitochondrial",11,9386510,9422490,9003850,10327100,10351900,10339800,8023750,8081370,7834940,7850290,7678860,7895490
P32780,P32780-2;P32780,TF2H1_HUMAN,GTF2H1,General transcription factor IIH subunit 1,4,,116395,,194263,260565,197454,110054,219928,286978,317149,351624,374609
P32929,P32929-2;P32929-3;P32929,CGL_HUMAN,CTH,Cystathionine gamma-lyase,10,950911,942014,882725,950473,1032060,938944,1880540,1615370,1788260,1297700,1512750,1289770
P32942,K7EP52;K7ERN2;P32942,ICAM3_HUMAN,ICAM3,Intercellular adhesion molecule 3,4,509799,271316,250830,334011,220582,354825,716515,714361,724165,658376,615390,584871
P32969,D6RAN4;E7ESE0;P32969,RL9_HUMAN,RPL9P9,60S ribosomal protein L9,12,8207980,7392420,7697440,8454990,8273270,8716370,3439070,6940450,6487900,6099070,6209520,6334210
P33121;P33121-2;P33121-3,B7Z3Z9;D6RER0;E7EPM6;H0Y9Z9;P33121-2;P33121-3;P33121,ACSL1-2_HUMAN;ACSL1-3_HUMAN;ACSL1_HUMAN,ACSL1,Long-chain-fatty-acid--CoA ligase 1,5,428122,530237,517496,539205,594301,568863,619769,535258,524894,485307,568368,435548
P33176,P33176,KINH_HUMAN,KIF5B,Kinesin-1 heavy chain,29,1797760,1684120,1708560,1541680,1647900,1479150,1415270,1373750,1363170,1173190,1253790,1302270
P33240;P33240-2,A0A0A0MT56;E7EWR4;E9PID8;P33240-2;P33240,CSTF2-2_HUMAN;CSTF2_HUMAN,CSTF2,Cleavage stimulation factor subunit 2,7,3230150,3199820,3259440,3319510,3410110,3319070,4017160,3968400,3763690,3937700,3546500,3696290
P33316,H0YKI0;P33316,DUT_HUMAN,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",1,356532,358545,225801,307912,295508,418641,281536,254395,267027,261228,259015,317287
P33316-2,A0A0C4DGL3;H0YKC5;H0YKI0;H0YMM5;H0YMP1;H0YNJ9;H0YNW5;P33316-2;P33316,DUT-2_HUMAN,DUT,"Isoform of P33316, Isoform 2 of Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",11,5383590,5607490,5318340,6177180,5934050,5690480,5176260,4920540,4983880,4090920,3924480,4175350
P33527;P33527-9,A0A0A0MS99;I3L4X2;P33527-2;P33527-3;P33527-4;P33527-5;P33527-6;P33527-7;P33527-8;P33527-9;P33527,MRP1-9_HUMAN;MRP1_HUMAN,ABCC1,Multidrug resistance-associated protein 1,19,1392260,1296520,1349140,876405,925739,956406,1344320,1261680,1215140,1118970,1137100,1102310
P33552,P33552,CKS2_HUMAN,CKS2,Cyclin-dependent kinases regulatory subunit 2,2,,397077,314907,428277,277429,306172,284353,460018,312606,199786,,325955
P33897,P33897,ABCD1_HUMAN,ABCD1,ATP-binding cassette sub-family D member 1,7,381264,302888,313983,249782,216371,177978,588225,503574,531573,479430,591627,539372
P33947,P33947-2;P33947,ERD22_HUMAN,KDELR2,ER lumen protein-retaining receptor 2,2,,264168,176627,531356,651304,568817,441381,292571,289974,379106,253515,400348
P33981;P33981-2,D6REX1;D6RF82;D6RIC6;P33981-2;P33981,TTK-2_HUMAN;TTK_HUMAN,TTK,Dual specificity protein kinase TTK,14,1033410,1075170,952169,810812,904969,748754,719940,713148,759313,601126,499872,634318
P33991,A0A3B3IS57;A0A3B3IT92;A0A3B3IU45;E5RG31;P33991,MCM4_HUMAN,MCM4,DNA replication licensing factor MCM4,43,5568060,5524950,5706050,7536540,7511920,7475820,5132750,5922380,5853170,7853270,7761390,8012900
P33992,B1AHB1;P33992,MCM5_HUMAN,MCM5,DNA replication licensing factor MCM5,42,9505710,9690250,9579970,12663200,12340200,12953900,7861790,9395040,9165110,12491500,12734300,13026400
P33993,P33993-2;P33993,MCM7_HUMAN,MCM7,DNA replication licensing factor MCM7,43,8786050,8538630,8934770,10276300,10260600,10386800,7453660,8235240,8146090,11018900,10594300,10837100
P34059,H3BP66;P34059,GALNS_HUMAN,GALNS,N-acetylgalactosamine-6-sulfatase,11,646918,660888,634626,691474,762109,818801,655853,805031,791192,683993,745504,754634
P34896;P34896-2,J3KRK5;J3KRZ5;P34896-2;P34896-3;P34896,GLYC-2_HUMAN;GLYC_HUMAN,SHMT1,"Serine hydroxymethyltransferase, cytosolic",8,837930,834945,942474,746005,814134,696036,675189,761638,790681,547883,517887,573011
P34897;P34897-3,G3V241;G3V2E4;G3V2W0;G3V3Y8;G3V4T0;G3V4W5;G3V4X0;G3V540;G3V5L0;P34897-2;P34897-3;P34897,GLYM-3_HUMAN;GLYM_HUMAN,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",31,24554700,24662400,24145700,24937800,24609800,23803600,28536900,29150300,29354300,28670800,27961000,28363500
P34932,A0A087WTS8;A0A087WYC1;P34932,HSP74_HUMAN,HSPA4,Heat shock 70 kDa protein 4,51,10205800,10316100,9891440,10773200,11029800,11120700,8284280,9161050,9271430,7453560,7838620,7554590
P34949;P34949-2,B4DYB8;F5GX71;H3BMZ9;H3BN01;H3BNY8;H3BP57;H3BPB8;H3BPM5;H3BPP3;H3BPU7;H3BT46;H3BT48;H3BUZ9;P34949-2;P34949,MPI-2_HUMAN;MPI_HUMAN,MPI,Mannose-6-phosphate isomerase,2,,369153,340678,393993,412117,381426,,219435,218856,,161683,
P35030;P35030-2;P35030-3;P35030-4;P35030-5,B1AN99;P35030-2;P35030-3;P35030-4;P35030-5;P35030,TRY3-2_HUMAN;TRY3-3_HUMAN;TRY3-4_HUMAN;TRY3-5_HUMAN;TRY3_HUMAN,PRSS3,Trypsin-3,2,775718,729120,750700,420008,555269,542214,851040,524391,484649,693553,615287,570030
P35052,H7BZL4;H7C024;H7C410;P35052,GPC1_HUMAN,GPC1,Glypican-1,4,748452,593501,723713,622943,494174,483618,463334,507027,499151,347717,642820,405991
P35080,C9J2N0;C9J712;P35080,PROF2_HUMAN,PFN2,Profilin-2,1,,,126157,,121505,168018,,,97296.9,,,80136.8
P35080-2,C9J0J7;C9J712;C9JQ45;G5E9Q6;P35080-2;P35080,PROF2-2_HUMAN,PFN2,"Isoform of P35080, Isoform IIb of Profilin-2",6,4656880,4982040,4734680,4135810,4188560,4012880,3258130,3436690,3319620,2506120,2378050,2454100
P35221,A0A0A0MRI5;A0A0A0MTJ6;G3XAM7;P26232-2;P26232-3;P26232-4;P26232-5;P26232-6;P35221-2;P35221-3;P26232;P35221,CTNA1_HUMAN,CTNNA1,Catenin alpha-1,45,9239340,9101340,8737930,7873180,7959660,7949000,10216600,11349900,11677600,10457200,10883500,10709100
P35222,A0A2R8Y543;A0A2R8Y5A3;A0A2R8Y5C3;A0A2R8Y5Z1;A0A2R8Y6G0;A0A2R8Y750;A0A2R8Y7Z0;A0A2R8Y804;A0A2R8YCH5;B4DGU4;P14923;P35222,CTNB1_HUMAN,CTNNB1,Catenin beta-1,35,7088610,6867610,6548630,6668400,6476200,6535060,8102750,9440680,9458310,8843490,9953280,9431000
P35232,C9JW96;C9JZ20;E7ESE2;E9PCW0;P35232-2;P35232,PHB_HUMAN,PHB,Prohibitin,19,36310900,35701200,32523400,25677000,26014200,26238100,25583400,29428800,29897800,29575900,29166000,29052700
P35237,A0A024QZX5;A0A087X1N8;A0A2R8Y6A7;A0A2R8YD12;P35237,SPB6_HUMAN,SERPINB6,Serpin B6,4,1178370,1140240,1167870,1082580,1046240,1025430,1010450,956624,775428,867269,648844,517723
P35240;P35240-2;P35240-3;P35240-5;P35240-8,P35240-2;P35240-3;P35240-4;P35240-5;P35240-6;P35240-8;P35240,MERL-2_HUMAN;MERL-3_HUMAN;MERL-5_HUMAN;MERL-8_HUMAN;MERL_HUMAN,NF2,Merlin,2,237549,144299,161292,209867,197095,274312,,80750.5,,195325,183754,209404
P35241,A0A2R8Y4H6;A0A2R8Y5S7;P35241-2;P35241-3;P35241-4;P35241-5;P35241,RADI_HUMAN,RDX,Radixin,15,2029460,2074470,2097610,2174340,2276310,2152800,983222,1338970,1364320,1376180,1445800,1358060
P35244,B5MC59;P35244,RFA3_HUMAN,RPA3,Replication protein A 14 kDa subunit,6,2022390,2123300,2690570,2724060,2422380,2499550,2138320,2837400,2858300,2402170,2555450,2469030
P35249,C9J8M3;C9JTT7;C9JXZ7;C9JZI1;P35249-2;P35249,RFC4_HUMAN,RFC4,Replication factor C subunit 4,17,4069020,3818520,4072900,4595660,4786100,4703860,4282390,4231290,4259250,4849000,4897990,4772140
P35250,P35250-2;P35250,RFC2_HUMAN,RFC2,Replication factor C subunit 2,11,2304100,2164850,2112860,2118590,2281620,2316570,1860500,2008680,1941050,2320940,2247190,2336220
P35251;P35251-2,P35251-2;P35251,RFC1-2_HUMAN;RFC1_HUMAN,RFC1,Replication factor C subunit 1,15,907395,982568,919211,978349,987386,1037090,986688,1249990,1300900,1582790,1506450,1522320
P35268,K7ERI7;P35268,RL22_HUMAN,RPL22,60S ribosomal protein L22,5,80294200,76477700,81642700,92052200,85102800,101575000,83281300,78992400,83310400,59760900,53337600,57470600
P35269,M0QXD6;P35269,T2FA_HUMAN,GTF2F1,General transcription factor IIF subunit 1,14,1721150,1818870,1772500,2256470,2122580,2201200,1468180,1636670,1659690,1816770,1685330,1760080
P35270,P35270,SPRE_HUMAN,SPR,Sepiapterin reductase,5,,230567,247504,382302,382183,256794,608041,441920,463590,430073,510871,487867
P35321,P22528;P35321,SPR1A_HUMAN,SPRR1A,Cornifin-A,5,1134690,,396109,1244990,850480,,396077,1128830,486981,735891,69239300,5526690
P35442,A0A3B3ITK0;P35442,TSP2_HUMAN,THBS2,Thrombospondin-2,2,84096.6,120021,87952.9,,84914.6,83137.9,,155194,91330.3,80766.8,100929,
P35527,K7EQQ3;P35527,K1C9_HUMAN,KRT9,"Keratin, type I cytoskeletal 9",33,92904500,24632400,10778000,62930800,7596590,8855720,21136900,55679400,20849600,42247900,104823000,107266000
P35556,E9PHW4;F6U495;P35555;P35556,FBN2_HUMAN,FBN2,Fibrillin-2,4,595472,789140,753690,689312,605041,1240210,,,,,,
P35573,P35573-2;P35573-3;P35573,GDE_HUMAN,AGL,Glycogen debranching enzyme,6,449676,485774,359537,462978,441018,385902,461284,514490,473769,365820,431950,359133
P35579,P35579-2;P35579,MYH9_HUMAN,MYH9,Myosin-9,156,48255700,49953800,49217400,4996430,4879370,4961060,4337030,4931100,4958730,3883920,4238720,3985740
P35580-2,P35580-2,MYH10-2_HUMAN,MYH10,"Isoform of P35580, Isoform 2 of Myosin-10",2,659905,715450,752799,,,,,,,,,
P35580;P35580-3,M0QY43;P35580-2;P35580-3;P35580-4;P35580-5;Q7Z406-2;Q7Z406-4;Q7Z406-5;Q7Z406-6;P35580;Q7Z406,MYH10-3_HUMAN;MYH10_HUMAN,MYH10,Myosin-10,129,54832200,54788200,54439400,4183170,4052170,4174020,3500780,4163740,4120210,3447360,3666390,3611790
P35606;P35606-2,P35606-2;P35606,COPB2-2_HUMAN;COPB2_HUMAN,COPB2,Coatomer subunit beta',36,4524040,4611280,4513830,4877470,4861500,4788500,3372150,4128590,4080420,3734120,3868800,3663530
P35610;P35610-2;P35610-3,P35610-2;P35610-3;P35610,SOAT1-2_HUMAN;SOAT1-3_HUMAN;SOAT1_HUMAN,SOAT1,Sterol O-acyltransferase 1,2,,,111060,120345,59025.9,101162,143325,355727,164439,115636,118059,127142
P35611-2;P35611-6,E7ENY0;E7EV99;H0Y9H2;P35611-2;P35611-3;P35611-4;P35611-5;P35611-6;P35611,ADDA-2_HUMAN;ADDA-6_HUMAN,ADD1,"Isoform of P35611, Isoform 2 of Alpha-adducin",23,3744030,3733050,3738650,3967580,4061750,3638600,3341190,3614070,3582990,3580240,3569130,3471260
P35612,P35612-2;P35612-3;P35612-4;P35612-8;P35612-9;P35612,ADDB_HUMAN,ADD2,Beta-adducin,22,2156070,2037640,2008820,2223030,2208550,2276450,1619310,1848070,1871010,1724010,1752420,1715610
P35613,A0A087WUV8;A0A087X2B5;I3L192;P35613-2;P35613-3;P35613-4;R4GMX5;R4GN83;P35613,BASI_HUMAN,BSG,Basigin,8,21919800,22786400,23198200,19711100,19727000,18956300,20167800,24426600,25376100,22005800,21067300,21586000
P35613-3,P35613-3;R4GMX5;R4GN83,BASI-3_HUMAN,BSG,"Isoform of P35613, Isoform 3 of Basigin",1,743756,756729,561389,694536,794287,1261960,800398,888858,763754,762956,851499,1026520
P35637;P35637-2,H3BPE7;P35637-2;P35637,FUS-2_HUMAN;FUS_HUMAN,FUS,RNA-binding protein FUS,10,18446100,18848000,19431300,19228200,19070200,21031800,18360800,25426800,26085600,22578900,21289200,21813000
P35658;P35658-2;P35658-5,A0A494BZU9;A0A494C1F2;P35658-2;P35658-3;P35658-4;P35658-5;P35658,NU214-2_HUMAN;NU214-5_HUMAN;NU214_HUMAN,NUP214,Nuclear pore complex protein Nup214,46,4289630,4179460,4052920,3929270,4006110,3882710,4014950,4684340,4742830,4084230,4045530,3998670
P35659,A0A494C028;A0A494C198;B4DFG0;H0Y993;P35659-2;P35659,DEK_HUMAN,DEK,Protein DEK,10,2793190,2913140,2845220,3418750,3271040,3003080,2198900,2374100,2464200,3780070,3565990,3596490
P35754,P35754,GLRX1_HUMAN,GLRX,Glutaredoxin-1,1,,273778,278318,299058,266272,,,,,,364058,
P35789;P35789-2;P35789-3,A0A087WVZ7;A0A087WWD1;A0A1W2PNY2;A0A1W2PPT3;A0A3Q5AD24;F8VS19;K7EIK6;K7EPV5;M0QXU9;M0QZI7;P17022-2;P17035-2;P17040-2;P17040-3;P35789-2;P35789-3;P52740-2;Q09FC8-2;Q09FC8-3;Q09FC8-4;Q09FC8-5;Q09FC8-6;Q14590-2;Q14593-2;Q3KP31-2;Q5VIY5-2;Q6ZN19-3;Q76KX8-2;Q86WZ6-2;Q86YE8-2;Q86YE8-3;Q86YE8-4;Q8N8E2-2;Q8N8E2-3;Q8N8Z8-2;Q96NJ3-2;Q9NV72-2;Q9UJU3-2;Q9UJW7-2;Q9UK12-2;A0A494C069;K7ENM7;A0A494BZV4;A6NK53;B4DX44;B7Z6K7;P0C7X5;P0CJ79;P17020;P17022;P17028;P17035;P17040;P35789;P52740;P59923;Q02386;Q08AG5;Q08AN1;Q09FC8;Q0VGE8;Q14586;Q14588;Q14590;Q14593;Q3KP31;Q5VIY5;Q6AZW8;Q6U7Q0;Q6ZN19;Q76KX8;Q7L2R6;Q86WZ6;Q86YE8;Q8N3J9;Q8N8E2;Q8N8Z8;Q8NHY6;Q96NJ3;Q9H7R5;Q9HCG1;Q9NV72;Q9NYT6;Q9NZL3;Q9P2F9;Q9UJU3;Q9UJW7;Q9UK10;Q9UK11;Q9UK12;Q9UL59;Q9Y2L8,ZNF93-2_HUMAN;ZNF93-3_HUMAN;ZNF93_HUMAN,ZNF93,Zinc finger protein 93,8,758790,686586,742513,670573,688819,764127,833291,813630,821395,962860,931473,950809
P35790;P35790-2,P35790-2;P35790,CHKA-2_HUMAN;CHKA_HUMAN,CHKA,Choline kinase alpha,1,,,237261,,343661,394709,472683,407010,432315,252063,293036,272448
P35813;P35813-3,P35813-2;P35813-3;P35813,PPM1A-3_HUMAN;PPM1A_HUMAN,PPM1A,Protein phosphatase 1A,8,1230840,1157080,1272770,1326140,1279370,1399010,1295480,1000600,940700,772212,808443,737319
P35908,P35908,K22E_HUMAN,KRT2,"Keratin, type II cytoskeletal 2 epidermal",35,20839700,5835690,3953830,98369800,7052300,5900130,13613900,30413300,11022800,30432000,45222400,45334100
P35914,P35914-2;P35914-3;P35914,HMGCL_HUMAN,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",7,732384,696981,719897,761694,782722,794588,809875,732918,775744,754388,783423,752166
P35968,P35968-2;P35968-3;P35968,VGFR2_HUMAN,KDR,Vascular endothelial growth factor receptor 2,10,523984,626304,601623,663015,566820,557843,1189340,1164240,1122460,969815,1055880,896802
P35998,P35998-2;P35998,PRS7_HUMAN,PSMC2,26S proteasome regulatory subunit 7,30,6166820,6270520,6230450,6389830,6411420,6680940,4663010,5284540,5193650,5522260,5782710,5823460
P36021,P36021,MOT8_HUMAN,SLC16A2,Monocarboxylate transporter 8,1,816219,628520,702689,599731,535662,670071,947771,1370170,1345070,1116850,1020490,1220280
P36383,Q5H9P2;P36383,CXG1_HUMAN,GJC1,Gap junction gamma-1 protein,3,285316,475548,438444,251180,182972,244801,,249775,289264,418231,395197,456551
P36404,P36404,ARL2_HUMAN,ARL2,ADP-ribosylation factor-like protein 2,6,2817380,2681950,2528160,2413090,2485550,2530300,2364370,1708250,1776730,1537530,1878080,1672790
P36405,P36405,ARL3_HUMAN,ARL3,ADP-ribosylation factor-like protein 3,10,1506260,1485900,1594090,1590130,1624400,1592100,1093010,993795,979238,743541,780440,716660
P36507,A0A1B0GUL7;P36507,MP2K2_HUMAN,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,2,604327,571014,574461,412792,465962,348784,425523,374850,344454,218208,212944,180165
P36542,P36542-2;P36542,ATPG_HUMAN,ATP5F1C,"ATP synthase subunit gamma, mitochondrial",12,13610600,14176500,14926300,12732400,12418900,11851700,14033200,12717500,12877200,13379300,12857300,13454800
P36543,C9J8H1;P36543-2;P36543,VATE1_HUMAN,ATP6V1E1,V-type proton ATPase subunit E 1,13,3811910,3771220,3627270,3377150,3485540,3581700,3941990,4902150,4583370,3918380,4387650,4151470
P36551,H0YA22;P36551,HEM6_HUMAN,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",14,2806280,2950540,2853970,2853900,2918660,2934370,2039290,2987690,3019050,2952750,2871670,2929130
P36575;P36575-2,A0A087WWQ5;D6RCT3;P36575-2;P36575,ARRC-2_HUMAN;ARRC_HUMAN,ARR3,Arrestin-C,2,,,,,,,1152700,332095,287808,266825,168366,334867
P36578,H3BM89;H3BTP7;P36578,RL4_HUMAN,RPL4,60S ribosomal protein L4,24,21084300,20415300,20067100,18324700,18003100,17090700,13157900,16626700,16659700,14368700,14804900,15138100
P36639;P36639-2;P36639-3;P36639-4,P36639-2;P36639-3;P36639-4;P36639,8ODP-2_HUMAN;8ODP-3_HUMAN;8ODP-4_HUMAN;8ODP_HUMAN,NUDT1,"7,8-dihydro-8-oxoguanine triphosphatase",5,1470430,1501620,1503190,1662340,1468090,1720940,1177070,1056570,1107620,1010450,1020940,1044040
P36776;P36776-2,K7EJE8;K7EKE6;K7ER27;P36776-2;P36776-3;P36776,LONM-2_HUMAN;LONM_HUMAN,LONP1,"Lon protease homolog, mitochondrial",37,4327010,4446150,4530900,4221710,4228320,4063950,4846010,5435700,5552280,5379930,5213800,5390340
P36871,A0A3B3ITK7;P36871-2;P36871-3;P36871,PGM1_HUMAN,PGM1,Phosphoglucomutase-1,24,2208540,2232630,2248570,2200450,2168060,2147250,2352140,2500360,2612290,1882740,1961350,1881730
P36873;P36873-2,A0A087WYY5;F8VR82;F8VYE8;F8W0W8;P36873-2;P36873,PP1G-2_HUMAN;PP1G_HUMAN,PPP1CC,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,2,3844300,3744650,3340780,3561540,3533940,4844330,3082960,3536820,3327970,3601950,4454580,4358270
P36894,P36894,BMR1A_HUMAN,BMPR1A,Bone morphogenetic protein receptor type-1A,4,1121950,944986,948411,907286,853721,596951,686327,1002690,857675,678438,484742,549489
P36897,B4DY26;P36897-2;P36897-3;P36897,TGFR1_HUMAN,TGFBR1,TGF-beta receptor type-1,3,404056,527317,478454,361690,353920,347046,206903,338621,339920,301346,299638,327610
P36915,A0A140T8Y2;P36915-2;P36915,GNL1_HUMAN,GNL1,Guanine nucleotide-binding protein-like 1,7,912016,802154,941276,787326,765660,744899,658446,613905,578068,468283,502157,526513
P36954,K7EKS1;P36954,RPB9_HUMAN,POLR2I,DNA-directed RNA polymerase II subunit RPB9,4,1521520,1492660,1755530,2036410,1971800,1880050,869476,1994440,1963260,1978060,2133860,2125170
P36957,P36957-2;Q86SW4;P36957,ODO2_HUMAN,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",14,9951340,9954530,10028900,10474100,10908700,10579900,15240600,14593000,14684000,13911800,13772400,13446000
P36969;P36969-2,A0A087WT12;A0A087X2I2;K7ERP4;P36969-2;P36969,GPX4-2_HUMAN;GPX4_HUMAN,GPX4,Phospholipid hydroperoxide glutathione peroxidase,8,1740870,1524980,1874130,1753640,1734760,1400000,1446320,1449950,1496880,1378890,1410960,1371700
P37108,H0YLA2;P37108,SRP14_HUMAN,SRP14,Signal recognition particle 14 kDa protein,9,12738700,12193100,12411900,18724800,18653900,18714500,10575200,12278200,11935200,16832300,16727300,16577500
P37198,P37198,NUP62_HUMAN,NUP62,Nuclear pore glycoprotein p62,12,4394000,5106570,4240120,5430240,5113130,5292330,4663080,6527010,6282250,6097070,5511130,5709470
P37235;P61601;P84074,P37235;P61601;P84074,HPCA_HUMAN;HPCL1_HUMAN;NCALD_HUMAN,HPCA;HPCAL1;NCALD,Hippocalcin-like protein 1,1,174655,,347512,257329,169582,170152,154554,208763,194412,,166494,
P37268,A0A1W2PQ47;E9PJG4;E9PNM1;E9PS69;P37268-2;P37268-3;P37268-4;P37268,FDFT_HUMAN,FDFT1,Squalene synthase,20,24849200,24793000,24201000,27287200,26898800,28142100,15951200,24176500,25089500,20278200,19913500,20523900
P37802;P37802-2,P37802-2;X6RJP6;P37802,TAGL2-2_HUMAN;TAGL2_HUMAN,TAGLN2,Transgelin-2,15,5100570,5177830,5378820,4883140,5020630,4518630,7382790,9478780,9024070,6693870,6685690,6587010
P37837,P37837,TALDO_HUMAN,TALDO1,Transaldolase,16,10532700,10261200,10585300,10763100,10714500,10707400,11087400,11339600,11156000,8475110,8794460,8166540
P38117,M0QY67;P38117-2;P38117,ETFB_HUMAN,ETFB,Electron transfer flavoprotein subunit beta,17,7454190,7363180,7439840,7871860,8091440,7792240,9914050,9314120,9103450,8494400,8740680,8479600
P38159,H3BUY5;P38159-2;P38159;Q96E39,RBMX_HUMAN,RBMX,"RNA-binding motif protein, X chromosome",30,61534400,61447800,62891100,99087600,100987000,99066000,123589000,116946000,115675000,121899000,119869000,119200000
P38398;P38398-4;P38398-7;P38398-8,A0A0U1RRA9;P38398-4;P38398-7;P38398-8;Q5YLB2;P38398,BRCA1-4_HUMAN;BRCA1-7_HUMAN;BRCA1-8_HUMAN;BRCA1_HUMAN,BRCA1,Breast cancer type 1 susceptibility protein,1,,243071,,301627,338022,320404,382888,291959,310649,,,325574
P38432,P38432,COIL_HUMAN,COIL,Coilin,12,1485790,1415020,1357950,1678330,1654240,1780870,1483530,1337900,1459540,1514720,1451610,1602700
